Match Numer,Team 1,Team 2,Winner,Margin,Ground,Match Date,Result,Winning Trends,Win by Wckets,Win by Runs,Key Matches Overview,Toss Winner,Toss Decision,Series,Season,Player Of The Match,Match days,Day & Night,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points 1,Points 2,Player Of The Series
1,Islamabad United,Quetta Gladiators,Quetta Gladiators,8 wickets,Dubai (DICS),4-Feb-16,Normal,Bowl First,8,,Match 1,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Mohammad Nawaz,4-Feb-16, night ,West Indies Joel Wilson Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Quetta Gladiators 2, Islamabad United 0,
2,Karachi Kings,Lahore Qalandars,Karachi Kings,7 wickets,Dubai (DICS),5-Feb-16,Normal,Bowl First,7,,Match 2,Karachi Kings, elected to field first,Pakistan Super League,2016,Kings Shakib Al Hasan,5-Feb-16, daynight ,West Indies Joel Wilson Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Karachi Kings 2, Lahore Qalandars 0,
3,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,24 runs,Dubai (DICS),5-Feb-16,Normal,Bat First,,24,Match 3,Peshawar Zalmi, elected to bat first,Pakistan Super League,2016,Zalmi Mohammad Asghar,5-Feb-16, night ,Pakistan Rashid Riaz Pakistan Shozab Raza,West Indies Joel Wilson,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Islamabad United 0,
4,Quetta Gladiators,Karachi Kings,Quetta Gladiators,8 wickets,Dubai (DICS),6-Feb-16,Normal,Bowl First,8,,Match 4,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Ahmed Shehzad,6-Feb-16, daynight ,Pakistan Rashid Riaz Pakistan Shozab Raza,West Indies Joel Wilson,,Pakistan Mohammed Anees,Quetta Gladiators 2, Karachi Kings 0,
5,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,9 wickets,Dubai (DICS),6-Feb-16,Normal,Bowl First,9,,Match 5,Peshawar Zalmi, elected to field first,Pakistan Super League,2016,Zalmi Tamim Iqbal,6-Feb-16, night ,West Indies Joel Wilson Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Lahore Qalandars 0,
6,Islamabad United,Karachi Kings,Islamabad United,2 runs,Dubai (DICS),7-Feb-16,Normal,Bat First,,2,Match 6,Karachi Kings, elected to field first,Pakistan Super League,2016,United Saeed Ajmal,7-Feb-16, daynight ,West Indies Joel Wilson Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Islamabad United 2, Karachi Kings 0,
7,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,3 wickets,Dubai (DICS),7-Feb-16,Normal,Bowl First,3,,Match 7,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Mohammad Nawaz,7-Feb-16, night ,Pakistan Rashid Riaz Pakistan Shozab Raza,West Indies Joel Wilson,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Quetta Gladiators 2, Peshawar Zalmi 0,
8,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,63 runs,Dubai (DICS),8-Feb-16,Normal,Bat First,,63,Match 8,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Qalandars Umar Akmal,8-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Mohammed Anees,Lahore Qalandars 2, Quetta Gladiators 0,
9,Islamabad United,Lahore Qalandars,Islamabad United,8 wickets,Sharjah,10-Feb-16,Normal,Bowl First,8,,Match 9,Islamabad United, elected to field first,Pakistan Super League,2016,United Sharjeel Khan,10-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Islamabad United 2, Lahore Qalandars 0,
10,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,3 runs,Sharjah,11-Feb-16,Normal,Bat First,,3,Match 10,Peshawar Zalmi, elected to bat first,Pakistan Super League,2016,Zalmi Mohammad Hafeez,11-Feb-16, daynight ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Karachi Kings 0,
